epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
84,7151.65,1.69808,0.96379,0.00072,0.73964,0.66885,0.75339,0.45597,1.53565,0.91677,0.0008,0.021783,0.007261,0.021783,0.007261,0.021783,0.007261,0.021783,0.007261
85,7236.24,1.67048,0.93527,0.00072,0.75153,0.66547,0.75039,0.45207,1.53688,0.91735,0.00081,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
86,7320.58,1.69959,1.02237,0.0007,0.72647,0.65907,0.73227,0.44557,1.52892,0.92269,0.0008,0.021585,0.007195,0.021585,0.007195,0.021585,0.007195,0.021585,0.007195
87,7405.17,1.66893,0.9184,0.00072,0.7703,0.65502,0.75389,0.4576,1.51516,0.91128,0.0008,0.021486,0.007162,0.021486,0.007162,0.021486,0.007162,0.021486,0.007162
88,7489.26,1.65429,0.9694,0.00072,0.75747,0.6779,0.75832,0.46226,1.5171,0.90313,0.0008,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129
89,7573.43,1.69282,1.03729,0.0007,0.7535,0.65687,0.75571,0.45697,1.53327,0.90687,0.00081,0.021288,0.007096,0.021288,0.007096,0.021288,0.007096,0.021288,0.007096
90,7658.02,1.69402,0.96338,0.00072,0.72484,0.67622,0.74321,0.45186,1.53605,0.94476,0.00081,0.021189,0.007063,0.021189,0.007063,0.021189,0.007063,0.021189,0.007063
91,7743.12,1.66279,0.91024,0.0007,0.74762,0.67895,0.75651,0.45943,1.52928,0.89181,0.0008,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
92,7827.91,1.67779,0.91533,0.00073,0.73505,0.68007,0.75665,0.45922,1.51676,0.92413,0.0008,0.020991,0.006997,0.020991,0.006997,0.020991,0.006997,0.020991,0.006997
93,7912.35,1.64177,0.92695,0.00071,0.73317,0.67949,0.75372,0.45785,1.51005,0.92624,0.00079,0.020892,0.006964,0.020892,0.006964,0.020892,0.006964,0.020892,0.006964
94,7996.51,1.66893,0.95269,0.00071,0.72799,0.68093,0.74867,0.45471,1.51403,0.95004,0.0008,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931
95,8080.74,1.64831,0.93977,0.00074,0.7207,0.68174,0.75057,0.4585,1.50359,0.90127,0.00079,0.020694,0.006898,0.020694,0.006898,0.020694,0.006898,0.020694,0.006898
96,8164.97,1.65691,0.91669,0.0007,0.73929,0.67507,0.76239,0.46578,1.50423,0.88581,0.00079,0.020595,0.006865,0.020595,0.006865,0.020595,0.006865,0.020595,0.006865
97,8249.05,1.62865,0.92489,0.00069,0.72928,0.66754,0.7529,0.46007,1.49935,0.89,0.00079,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
98,8333.63,1.65335,0.90144,0.0007,0.76063,0.66204,0.75808,0.46364,1.50732,0.9082,0.00078,0.020397,0.006799,0.020397,0.006799,0.020397,0.006799,0.020397,0.006799
99,8417.83,1.66038,0.90601,0.00072,0.74164,0.66389,0.75762,0.46097,1.50042,0.89075,0.00079,0.020298,0.006766,0.020298,0.006766,0.020298,0.006766,0.020298,0.006766
100,8501.98,1.63665,0.92675,0.0007,0.71919,0.68857,0.75619,0.45717,1.49418,0.89907,0.00078,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733
101,8586.17,1.66941,0.95932,0.0007,0.73003,0.68223,0.75289,0.45999,1.49832,0.90052,0.00079,0.0201,0.0067,0.0201,0.0067,0.0201,0.0067,0.0201,0.0067
102,8670.76,1.66609,0.91025,0.00073,0.72761,0.69538,0.75999,0.4622,1.50023,0.89766,0.00078,0.020001,0.006667,0.020001,0.006667,0.020001,0.006667,0.020001,0.006667
103,8755.28,1.62869,0.91456,0.0007,0.7457,0.67894,0.75722,0.46605,1.50482,0.88694,0.00079,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
104,8839.7,1.6691,0.92764,0.00069,0.7297,0.68586,0.76,0.4671,1.49602,0.89027,0.00078,0.019803,0.006601,0.019803,0.006601,0.019803,0.006601,0.019803,0.006601
105,8924.19,1.68308,0.95164,0.00073,0.74863,0.64949,0.7531,0.45725,1.50494,0.90495,0.00079,0.019704,0.006568,0.019704,0.006568,0.019704,0.006568,0.019704,0.006568
106,9008.68,1.63211,0.91243,0.0007,0.74331,0.66769,0.75796,0.46638,1.49526,0.88772,0.00078,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
107,9092.9,1.66041,0.9443,0.00067,0.73404,0.68895,0.76019,0.46598,1.4907,0.90333,0.00078,0.019506,0.006502,0.019506,0.006502,0.019506,0.006502,0.019506,0.006502
